"referenceCode","legacyId","parentId","qubitParentSlug","identifier","accessionNumber","title","levelOfDescription","extentAndMedium","repository","archivalHistory","acquisition","scopeAndContent","appraisal","accruals","arrangement","accessConditions","reproductionConditions","language","script","languageNote","physicalCharacteristics","findingAids","locationOfOriginals","locationOfCopies","relatedUnitsOfDescription","publicationNote","digitalObjectURI","digitalObjectChecksum","generalNote","subjectAccessPoints","placeAccessPoints","nameAccessPoints","genreAccessPoints","descriptionIdentifier","institutionIdentifier","rules","descriptionStatus","levelOfDetail","revisionHistory","languageOfDescription","scriptOfDescription","sources","archivistNote","publicationStatus","physicalObjectName","physicalObjectLocation","physicalObjectType","alternativeIdentifiers","alternativeIdentifierLabels","eventDates","eventTypes","eventStartDates","eventEndDates","eventDescriptions","eventActors","eventActorHistories","eventPlaces","culture"
"SeknegRi",121299,,,,,"Sekretariat Negara Republik Indonesia 1945-1949","Fonds",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,"Inventaris Arsip Sekretariat Negara Republik Indonesia Tahun 1945-1949",,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"309",,121502,,"309",,"Menteri Pengajaran, Pendidikan dan Kebudayaan: Surat Keputusan No. 212/S tgl. 10 Oktober 1949 tentang pembentukan Panitia Perguruan Tinggi RIS yaitu suatu badan pembantu Kementerian Pengajaran, Pendidikan dan Kebudayaan.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"310",,121502,,"310",,"Menteri Pengajaran, Pendidikan dan Kebudayaan: Surat Keputusan No. 289/A tgl. 20 Oktober 1949 tentang peraturan pemakaian sesuatu gedung yang langsung diurus/dikuasai/diawasi oleh Kementerian Pengajaran, Pendidikan dan Kebudayaan.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"311",,121502,,"311",,"Menteri Pengajaran, Pendidikan dan Kebudayaan: Surat Keputusan No. 281/A tgl. 25 Oktober 1949 tentang perubahan pasal 2 dari Surat Keputusan dari Menteri PPK tgl. 19 Juli 1948 No. 6123/A bagian A (1) dan (2) bagian D (1) dan bagian E (1).","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"312",,121502,,"312",,"Menteri Pengajaran, Pendidikan dan Kebudayaan: Surat Keputusan No. 367/C tgl. 8 September 1949 tentang kepindahan tempat kedudukan Kementerian Pengajaran, Pendidikan dan Kebudayaan dari Solo ke Jogjakarta.","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"313",,121502,,"313",,"Menteri Kemakmuran: Surat Keputusan No. 3334/Kab tgl. 1 Juni 1948 tentang pedoman cara menetapkan besarnya kerugian untuk pemakaian tanah oleh perusahaan-perusahaan Pertanian Negara dalam Daerah Istimewa Jogjakarta dan Karesidenan Surakarta.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Stensilan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"314",,121502,,"314",,"Menteri Kemakmuran: Surat Keputusan No. 3840/Kab tgl. 21 Juni 1948 tentang pembentukan Panitia Penyokong dan Pertimbangan bagi pelaksanaan rancangan produksi 3 tahun dan pengangkatan anggota-anggota panitia tersebut.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"315",,121502,,"315",,"Menteri Kemakmuran: Surat Keputusan No. 5284/Kab tgl. 5 Agustus 1948 tentang Susunan dan Tugas Kewajiban Kementerian Kemakmuran, disertai lampiran.","Item","6 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"316",,121502,,"316",,"Menteri Kemakmuran: Surat Keputusan No. 3831/Kab tgl. 3 September 1948 tentang pembentukan suatu komisi yang berkewajiban mengadakan peninjauan keadaan dan sifat perekonomian masyarakat Indonesia, penyusunan ketua dan anggota komisi tersebut.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"317",,121502,,"317",,"Menteri Kemakmuran: Surat Keputusan No. 6954/T.O. tgl. 15 Oktober 1948 tentang tetap termasuknya (sementara) Urusan Pengawasan Milik Bangsa Asing (PMBA) dalam Kantor Pusat Kementerian Kemakmuran dan mengenai tugas kewajiban Urusan PMBA.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"318",,121502,,"318",,"Menteri Kemakmuran: Surat Keputusan No. 65/T.O. tgl. 25 Oktober 1948 tentang ditariknya Bagian Pengawasan Milik Bangsa Asing dari Jawatan Pengumpulan, Penyimpanan dan Pembagian ke bawah Pimpinan Kantor Kementerian Kemakmuran.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"319",,121502,,"319",,"Menteri Kesehatan: Surat Keputusan No. 5/Peg/3 tgl. 30 April 1948 tentang Susunan Kantor Pusat kementerian Kesehatan Jogjakarta.","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"320",,121502,,"320",,"Menteri Kesehatan: Surat Keputusan No. 20/Peg/J tgl. 29 Juni 1948 tentang pembagian tugas di lingkungan karesidenan Semarang, Karesidenan Surakarta dan Karesidenan Banyumas.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"321",,121502,,"321",,"Menteri Kesehatan: Surat Keputusan No. 720/Peg/10/K tgl. 14 Desember 1949 tentang Pembentukan Kantor Perwakilan Kementerian Kesehatan di daerah Jakarta.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"322",,121502,,"322",,"Menteri Keuangan: Surat Keputusan No. TNU 1/21/9 tgl. 12 September 1949 tentang pembentukan Kantor Pusat Perbendaharaan di Jogjakarta.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"323",,121502,,"323",,"Menteri Keuangan: Surat Keputusan No. 4.43/1/10 tgl. 14 September 1949 tentang pembentukan Kantor Perbendaharaan di Jakarta.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"324",,121502,,"324",,"Menteri Pembangunan dan Pemuda: Surat Keputusan tgl. 22 Juni 1948 tentang penyerahan kekuasaan dan kewajiban penyelenggaraan urusan-urusan penempatan tenaga yang berasal dari ketentaraan dan badan-badan perjuangan atau akibat rasionalisasi dan pemberian pekerjaan atau pendidikan dari Kementerian Pembangunan dan Pemuda kepada Jawatan Perusahaan.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"325",,121502,,"325",,"Menteri Pertahanan: Surat Keputusan No. A/154/1948 tgl. 13 April 1948 tentang penghapusan Bagian Politik Kementerian Pertahanan, disertai surat pengantar.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"326",,121502,,"326",,"Menteri Pekerjaan Umum: Surat Keputusan No. S9/2/7 tgl. 14 September 1949 tentang pembubaran organisasi yang terdiri dari penggabungan Pelayaran Nasional Indonesia, Penumpukan dan Angkutan dan Badan Pengangkutan Laut.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"327",,121502,,"327",,"Menteri Perburuhan dan Sosial: Surat Keputusan No. 2/K.U.2/5 tgl. 21 September 1949 tentang didirikan Jawatan Sosial Kementerian Perburuhan dan Sosial.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"328",,121502,,"328",,"Menteri Persediaan Makanan Rakyat: Surat Keputusan No. 65/II/MTR tgl. 25 September 1948 dan 18 Oktober 1948 tentang pencabutan Surat Penetapan Menteri Negara Urusan Makanan No. 9/S/1947 tgl. 10 September 1947, disertai lampiran dan surat pengantar.","Item","3 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"329",,121502,,"329",,"Menteri Urusan Pegawai: Surat Keputusan No. 9/S/1949 tgl. 23 Desember 1949 tentang pengubahan peraturan Menteri Urusan Pegawai No. 3/S/1949 tgl. 30 Juli 1949.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"330",,121502,,"330",,"Menteri Negara RI Koordinator Keamanan: Surat Keputusan No. P/15 tgl. 29 Juni 1949 tentang dasar-dasar Pemerintah Daerah untuk Daerah Istimewa Jogjakarta dan pembekuan Peraturan Negara mengenai Pemerintahan Daerah di Daerah Istimewa Jogjakarta yang bertentangan dengan surat keputusan ini.","Item","5 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"331",,121502,,"331",,"Menteri Negara RI: Surat Keputusan No. P/1 tgl. 27 Mei 1949 tentang pembentukan Panitia Penerimaan Penyerahan Kembali Jawatan-Jawatan berkedudukan di Jogjakarta dan pengangkatan Ketua serta Anggota Panitia tersebut.","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"332",,121502,,"332",,"Menteri Negara RI: Surat Keputusan No. P/2 tgl. 30 Mei 1949 tentang penyerahan Pimpinan Kantor Urusan Pegawai Negeri kepada Menteri Perburuhan dan Sosial untuk sementara sebelum ada keputusan Dewan Menteri RI.","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"333",,121502,,"333",,"Menteri Negara RI: Surat Keputusan No. P/4 tgl. 31 Mei 1949 tentang tugas kewajiban darurat dari Kementerian Pendidikan, Pengajaran dan Kebudayaan, disertai lampiran. ","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,"Nb. Lampiran tidak lengkap","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"334",,121502,,"334",,"Menteri Negara RI: Surat Keputusan No. P/8 tgl. 1 Juni 1949 tentang pembentukan Panitia Penyambutan Kedatangan Pemerintah RI (Panitia Penyambutan) dengan Kedudukan di Jogjakarta dan pengangkatan Ketua, Wakil Ketua dan Anggota Panitia Penyambutan tersebut.","Item","5 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"335",,121502,,"335",,"Menteri Negara RI: Surat Keputusan No. P/12 tgl. 7 Juni 1949 tentang pembentukan Kantor Urusan Barang-barang RI (KUBRI) di Jogjakarta di bawah pengawasan Kementerian Kemakmuran dan pengangkatan Ir. Gunung Iskandar sebagai Pimpinan KUBRI.","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Salinan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
,121503,121500,,,,"C. PENGELOLAAN DANA DAN KEUANGAN NEGARA","File",,"Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,,,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"336",,121503,,"336",,"Undang-undang No. 2 tgl. 16 Maret 1946 tentang batas waktu piutang pajak berakhir.","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"337",,121503,,"337",,"Undang-undang No. 4 tgl. 29 April 1946 tentang pinjaman negara dan Undang-undang Perubahan Undang-undang Pinjaman Nasional 1946 tgl. 11 Juli 1946.","Item","9 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"338",,121503,,"338",,"Undang-undang No. 4 dan 5 tgl. 10 April 1946 dan 10 Mei 1946 tentang penetapan tarif pajak pendapatan 1946/1947, tambahan pokok pajak dan tarif pajak upah, disertai penjelasannya.","Item","5 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"339",,121503,,"339",,"Undang-undang tgl. 12 Juni 1946 tentang perubahan Undang-undang No. 4 tahun 1946 mengenai pinjaman nasional.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"340",,121503,,"340",,"Undang-undang No. 10 tgl. 22 Juni 1946 tentang pembawaan uang dari daerah ke daerah lain di Jawa dan Madura.","Item","3 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"341",,121503,,"341",,"Undang-undang No. 11 tgl. 23 Juni 1946 tentang perubahan aturan Bea Materai 1921.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"342",,121503,,"342",,"Undang-undang No. 15 tgl. 21 September 1946 tentang penetapan tambahan pokok Pajak Bumi untuk tahun pajak 1946/1947.","Item","3 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"343",,121503,,"343",,"Setneg kepada Kementerian Pertahanan: Undang-undang No. 17 tahun 1946 tentang Pengeluaran Uang RI (I) dan Undang-undang No. 18 tahun 1946 tgl. 1 Oktober 1946 tentang kewajiban menyimpan uang dalam Bank, disertai surat pengantar.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Pertinggal",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"344",,121503,,"344",,"Undang-undang No. 19 tgl. 25 Oktober 1946 tentang pengeluaran Uang Republik Indonesia (II).","Item","9 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"345",,121503,,"345",,"Undang-undang No. 21 tgl. 9 November 1946 tentang penurunan Cukai Tembakau.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"346",,121503,,"346",,"Undang-undang No. 3 tgl. 12 Februari 1947 tentang bea masuk dan bea keluar, disertai lampiran.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"347",,121503,,"347",,"Undang-undang No. 10 tgl. 5 Mei 1947 tentang peraturan aturan bea materai 1921, disertai lampiran.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"348",,121503,,"348",,"Undang-undang No. 11 tgl. 5 Mei 1947 tentang perubahan tarip pajak potong, disertai lampiran.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"349",,121503,,"349",,"Undang-undang No. 12 tgl. 5 Mei 1947 tentang pajak radio, disertai lampiran.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"350",,121503,,"350",,"Undang-undang No. 13 tgl. 5 Mei 1947 tentang penetapan tarip pajak pendapatan, pajak upah dan tambahan pokok pajak tahun 1947/1948, disertai lampiran.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"351",,121503,,"351",,"Undang-undang No. 14 tgl. 14 Mei 1947 tentang pajak pembangungan I, disertai lampiran.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Asli",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"352",,121503,,"352",,"Undang-undang No. 19 tgl. 12 Juni 1947 tentang mengganti Undang-undang No. 10 tahun 1946 mengenai pembawaan uang dan Peraturan Pemerintahan Pengganti Undang-undang No. 10 tgl. 29 Oktober 1946.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"353",,121503,,"353",,"Undang-undang No. 30 tgl. 30 Agustus 1947 tentang pengesahan Peraturan Pemerintah No. 20 tahun 1947 mengenai Promes Negara.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"354",,121503,,"354",,"Undang-undang No. 28 tgl. 30 Agustus 1947 tentang cukai tembakau II.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"355",,121503,,"355",,"Undang-undang No. 29 tgl. 30 Agustus 1947 tentang cukai minuman keras, disertai penjelasannya.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"356",,121503,,"356",,"Undang-undang No. 38 tgl. 28 November 1947 tentang Undian Uang Negara, disertai penjelasannya.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"357",,121503,,"357",,"Rencana Undang-undang tahun 1948 tentang Undang-undang Pensiun Pegawai Negara tahun 1948, disertai penjelasannya.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"358",,121503,,"358",,"Rancangan Undang-undang tahun 1948 tentang pemberian kekuasaan kepada Menteri Keuangan mengadakan peraturan-peraturan guna mempergunakan dan mempercepat prosedur penetapan dan pemungutan pajak-pajak, disertai penjelasannya.","Item","5 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,"N.B.: Rusak ringan","Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"359",,121503,,"359",,"Undang-undang tahun 1948 tentang perubahan Undang-undang Uang Berat Barang 1927 (Goederengeld Ordonnantie 1927).","Item","4 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"360",,121503,,"360",,"Undang-undang No. 14 dan No. 15 tgl. 31 Mei 1948 tentang bea masuk dan penetapan barang-barang yang dikenakan bea keluar 30% dari barangnya.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Duplikat",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"361",,121503,,"361",,"Undang-undang No. 20 tgl. 12 Juni 1948 tentang perubahan dan tambahan pajak pembangunan.","Item","5 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Duplikat dan konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"362",,121503,,"362",,"Undang-undang No. 21 tgl. 12 Juni 1948 tentang Undang-undang tambahan dari undang-undang pajak radio.","Item","7 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Duplikat",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"363",,121503,,"363",,"Undang-undang No. 25 tgl. 13 Agustus 1948 tentang penetapan tarif pajak pendapatan tahun 1948/1949 dan tambahan pokok pajak.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Duplikat dan konsep",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"364",,121503,,"364",,"Undang-undang No. 17 dan No. 26 tgl. 31 Mei 1948 dan 13 Agustus 1948 tentang perubahan Undang-undang pajak pendapatan 1932.","Item","1 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Duplikat",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"365",,121503,,"365",,"Undang-undang No. 28 tgl. 2 September 1948 tentang undang-undang alat pembayaran luar negeri.","Item","1 sampul","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Stensilan",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"366",,121503,,"366",,"Undang-undang No. 32 tgl. 30 Oktober 1948 tentang peredaran uang dengan perantaraan Bank.","Item","7 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Duplikat",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"367",,121503,,"367",,"Undang-undang No. 33 tgl. 9 November 1948 tentang uang berat barang 1948.","Item","3 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Duplikat",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"368",,121503,,"368",,"Undang-undang No. 34 tgl. 11 Desember 1948 tentang perubahan daerah pabean.","Item","2 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Duplikat",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
"369",,121503,,"369",,"Undang-undang No. 35 tgl. 11 Desember 1948 tentang penurunan beberapa bea masuk.","Item","6 lembar","Arsip Nasional Republik Indonesia (ANRI)",,,,,,,,,"id",,,,,,,,,,,"Duplikat",,,,,,,,,,,,,,,"Draft",,,,,,,"Creation | Creation | Creation",,,,"Sekretariat Negara",,,"id"
