,referenceCode,legacyId,parentId,qubitParentSlug,identifier,accessionNumber,title,levelOfDescription,extentAndMedium,repository,archivalHistory,acquisition,scopeAndContent,appraisal,accruals,arrangement,accessConditions,reproductionConditions,language,script,languageNote,physicalCharacteristics,findingAids,locationOfOriginals,locationOfCopies,relatedUnitsOfDescription,publicationNote,digitalObjectURI,digitalObjectChecksum,generalNote,subjectAccessPoints,placeAccessPoints,nameAccessPoints,genreAccessPoints,descriptionIdentifier,institutionIdentifier,rules,descriptionStatus,levelOfDetail,revisionHistory,languageOfDescription,scriptOfDescription,sources,archivistNote,publicationStatus,physicalObjectName,physicalObjectLocation,physicalObjectType,alternativeIdentifiers,alternativeIdentifierLabels,eventDates,eventTypes,eventStartDates,eventEndDates,eventDescriptions,eventActors,eventActorHistories,eventPlaces,culture
264,248,,121502.0,,248.0,,Presiden RI: Penetapan tgl. 24 Desember 1946 tentang pembentukan sebuah panitia yang terdiri dari Anggota Kesatuan-kesatuan Angkatan Perang serta dari Kementerian Pertahanan yang berkewajiban memberi usul dan nasehat mengenai Susunan Ketentaraan dan Kementerian Pertahanan.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
265,249,,121502.0,,249.0,,Presiden Panglima Tertinggi Angkatan Perang: Penetapan tgl. 3 Juni 1947 tentang penyusunan Komando Divisi VII.,Item,4 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
266,250,,121502.0,,250.0,,Waperdam tgl. 6 November 1949 tentang pemilihan anggota DPD Sumatera Tengah.,Item,6 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
267,251,,121502.0,,251.0,,"Presiden RI: Penetapan No. 8 tgl. 27 Februari 1948 tentang pembentukan Panitia Perancang Kedudukan dan Kewajiban Kepolisian Negara dan pengangkatan Ketua merangkap Anggota dan Anggota Panitia Perancang Kedudukan dan Kewajiban Kepolisian Negara yaitu: Menteri Kehakiman, Jaksa Agung, Kepala Kepolisian Negara, Zainoel Baharoedin (dari BPKNIP), Prawoto Mangkoesasmito (dari BPKNIP), Mr. Wongsonegoro (dari Kementerian Dalam Negeri) dan Prof. Mr. Djokosutono.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
268,252,,121502.0,,252.0,,"Presiden RI: Penetapan No. 11 tgl. 6 Maret 1948 tentang pembentukan Panitia Pemberi Pertimbangan kepada Pemerintah terhadap keinginan pihak Tani yang berkehendak dihapuskannya Peraturan-peraturan yang mengenai tanah conversie dalam Daerah Surakarta dan Jogjakarta dan pengangkatan Ketua merangkap Anggota dan Anggota Panitia serta seorang sekretaris pemberi pertimbangan kepada Pemerintah yaitu: H. Gaos Hardjasoemantri, Sardjarwo, Mr. Soejono Hadinoto Brotokoesoemo, R. Soeradibrata, Ir. M. Soetedjo, Mr. Fn. Moetalib, K.R.T. Wiroboemi, Hartojo, Mr. R. Soekardono, R. Singgih Praptodihardjo (9 Sekeratris).",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
269,253,,121502.0,,253.0,,"Presiden RI: Penetapan-penetapan No. 4 dan No. 12 tgl. 6 Februari 1948 dan 17 Maret 1948 tentang pembentukan dan pembubaran Panitia Hijrah, disertai lampiran.",Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Konsep, salinan",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
270,254,,121502.0,,254.0,,Presiden RI: Penetapan No. 13 tgl. 26 April 1948 tentang adanya 2 Pengadilan Negeri di Karesidenan Tapanuli yaitu: Pengadilan Negeri Tapanuli Utara dan Pengadilan Negeri Tapanuli Selatan dan adanya 1 Pengadilan Negeri di Karesidenan Riau yaitu Pengadilan Negeri Riau.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
271,255,,121502.0,,255.0,,Presiden RI: Penetapan No. 15 tgl. 8 Mei 1948 tentang pembubaran Panitia Tanah Conversie.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
272,256,,121502.0,,256.0,,Surat-surat tgl. 28 April 1948-20 Agustus 1948 tentang Penetapan Presiden mengenai Panitia Agraria.,Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
273,257,,121502.0,,257.0,,Presiden RI: Penetapan No. 21 tgl. 23 September 1948 tentang mulai berlakunya Penetapan Presiden No. 19 tahun 1948.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, konsep",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
274,258,,121502.0,,258.0,,Presiden RI: Penetapan No. 24 tgl. 28 September 1948 tentang pencabutan Penetapan Presiden No. 22 tahun 1948 dan pernyataan Propinsi Jawa Timur sebagai Daerah Militer Istimewa.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
275,259,,121502.0,,259.0,,Presiden RI: Penetapan No. 28 tgl. 16 November 1948 tentang pembentukan Panitia Indonesia Raya dan pengangkatan sebagai Anggota-anggota Panitia Indonesia Raya.,Item,6 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Asli, konsep",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
276,260,,121502.0,,260.0,,"Wakil Perdana Menteri NRI: Penetapan No. 2/Um/WPM tgl. 6 November 1949 tentang pemilihan Anggota-anggota Dewan Perwakilan Propinsi Sumatera Tengah, disertai surat pengantar.",Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
277,261,,121502.0,,261.0,,"Presiden RI dan Panglima Tertinggi Angkatan Darat, Laut dan Udara: Surat Keputusan tgl. 5 Oktober 1946 tentang penganugerahan sebuah panji kepada masing-masing Satuan Angkatan Darat, Laut dan Udara.",Item,5 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Konsep, salinan",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
278,262,,121502.0,,262.0,,Presiden RI: Surat Keputusan No. 97-A-1947 tgl. 28 Juli 1947 tentang pembentukan Pucuk Pimpinan ALRI.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
279,263,,121502.0,,263.0,,Presiden RI: Surat Keputusan No. 43/P.Mil./48 tgl. 13 April 1948 tentang pembubaran Panitia Pertimbangan Pucuk Pimpinan Tentara dan Panitia Pembentukan Organisasi Tentara Nasional Indonesia.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
280,264,,121502.0,,264.0,,Presiden RI: Surat Keputusan No. 66/P.Civ/48 tgl. 1 September 1948 tentang pencabutan Surat Ketetapan Presiden tgl. 17 Agustus 1946 No. Pol. 3/51/53.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
281,265,,121502.0,,265.0,,Presiden RI: Surat Keputusan No. 86/A.Mil./48 tgl. 27 Oktober 1948 tentang pembentukan Dewan kehormatan Militer dan pengangkatan anggota tetap dan anggota tidak tetap Dewan Kehormatan Militer.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
282,266,,121502.0,,266.0,,"Presiden RI: Surat Keputusan No. 99/A.Civ./48 tgl. 10 Desember 1948 tentang pengangkatan Mohamad Sjafii sebagai anggota Panitia Indonesia Raya, disertai surat pengantar.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Pertinggal,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
283,267,,121502.0,,267.0,,"Presiden RI: Surat Keputusan No. 2/P/49 tgl. 15 Agustus 1949 tentang pencabutan kembali Keputusan Menteri Negara Hamengku Buwono IX No. P/10, disertai surat pengantar.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,N.B.: Kertas sobek,,,,,,,id,,,,,,,,,,,Pertinggal,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
284,268,,121502.0,,268.0,,Presiden RI: Surat Keputusan No. 47/A/49 tgl. 27 Oktober 1949 tentang pembetulan daftar lampiran Surat Keputusan tgl. 16 September 1949 No. 28/A/49.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,N.B.: Lampiran tidak ada,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
285,269,,121502.0,,269.0,,Presiden RI: Surat Keputusan No. 77/A/49 tgl. 1 Desember 1949 tentang pencabutan Keputusan Menteri Pertahanan No. 104/A/AP/49 tgl. 15 November 1949.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
286,270,,121502.0,,270.0,,Pemerintah RI Jogjakarta: Maklumat tgl. 19 September 1945 tentang protes atas Maklumat Saiko Sikikan No. 5 tgl. 18 September 1945 serta keterangannya.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
287,271,,121502.0,,271.0,,Menteri Keuangan: Surat Edaran No. B.O.P.1-1-2 tgl. 22 Februari 1947 tentang pembentukan Bagian Urusan Perjalanan.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
288,272,,121502.0,,272.0,,"Badan Pekerja Komite Nasional Pusat kepada Setneg: Surat tgl. 30 Juni 1947 tentang pembetulan kekeliruan lampiran Keputusan Badan Pekerja Komite Nasional Pusat No. 29/BP 3/47 U yaitu perkataan pasal 4 di dalam pasal 7 ayat 1 yang seharusnya pasal 5, disertai lampiran.",Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
289,273,,121502.0,,273.0,,"Kementerian Kemakmuran: Pengumuman No. 1 tgl. 15 Januari 1948 tentang pembagian barang-barang alat tulis-menulis buat kantor, bahan pakaian, obat-obatan dan alat-alat mobil dan lain-lain khusus untuk instansi-instansi pemerintah.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Stensilan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
290,274,,121502.0,,274.0,,Presiden RI: Pengumuman No. 1 tgl. 29 Januari 1948 tentang penundaan pengumuman kabinet baru.,Item,5 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
291,275,,121502.0,,275.0,,Kepala Staf Angkatan Perang: Surat Keputusan No. A/166/1948 tgl. 21 April 1948 tentang tugas kewajiban Kantor Koordinasi Perhubungan Angkatan Perang.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
292,276,,121502.0,,276.0,,"Wakil Sekretaris Negara kepada Menteri Pertahanan: Surat tgl. 13 Mei 1948 tentang pembetulan Penetapan Presiden RI No. 14 tahun 1948, disertai lampiran.",Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Pertinggal,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
293,277,,121502.0,,277.0,,Surat-surat tgl. 15 Maret 1948-22 Mei 1948 tentang permintaan tanda tangan Presiden untuk Penetapan Presiden.,Item,6 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Asli,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
294,278,,121502.0,,278.0,,Kementerian Kemakmuran: Pengumuman No. 5 tgl. 11 Juni 1948 tentang permohonan bantuan atau sokongan dari berbagai-bagai badan resmi dan tidak resmi kepada Kementerian Kemakmuran.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Stensilan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
295,279,,121502.0,,279.0,,"Dewan Pengawas Kantor Alat Pembayaran Luar Negeri: Surat Keputusan tgl. 15 November 1948 tentang perpanjangan waktu pemberitahuan yang dimaksud dalam pasal 5 dan Undang-undang No. 28 tahun 1948, disertai lampiran.",Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
296,280,,121502.0,,280.0,,Presiden RI: Instruksi No. 5/1948 tgl. 1 Desember 1948 tentang koordinasi jawatan-jawatan daerah.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
297,281,,121502.0,,281.0,,Menteri Negara RI Koordinator Keamanan: Maklumat No. S/4 tgl. 14 Juni 1949 tentang instruksi untuk alat-alat Pemerintah RI di masa peralihan.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
298,282,,121502.0,,282.0,,"Wakil Perdana Menteri yang berkedudukan di Kutaraja: Instruksi tgl. 20 Agustus 1949 tentang hak, tugas dan kewajiban dari Wakil Perdana Menteri yang berkedudukan di Kutaraja.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Stensilan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
299,283,,121502.0,,283.0,,Presiden RI: Maklumat No. 1 bulan Juni 1946 tentang Dewan Pertahanan Daerah Surakarta.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
300,284,,121502.0,,284.0,,Presiden RI: Maklumat No. 2 tgl. 2 Oktober 1946 tentang pencabutan Maklumat Presiden No. 1 tahun 1946.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
301,285,,121502.0,,285.0,,Presiden RI: Makkumat No. 3 tgl. 2 Oktober 1946 tentang pengesahan Susunan Kabinet yang diajukan oleh Soetan Sjahrir.,Item,7 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
302,286,,121502.0,,286.0,,Presiden RI: Maklumat-maklumat No. 1 tahun 1946 dan No. 6 tahun 1947 tgl. 29 Juni 1946 dan 27 Juni 1947 tentang pengambilan kekuasaan Pemerintah sepenuh-penuhnya untuk sementara waktu oleh Presiden RI.,Item,9 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Duplikat,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
303,287,,121502.0,,287.0,,"Presiden RI: Maklumat No. 7 tgl. 3 Juli 1947 tentang pencabutan Maklumat Presiden No. 6 tahun 1947 dan pengesahan Susunan Kabinet yang telah diajukan oleh Mr. Amir Sjarifoeddin, Dr. A.K. Gani dan Drs. Setyadjit.",Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
304,288,,121502.0,,288.0,,Presiden RI: Maklumat-maklumat No. 4 dan No. 5 tgl. 3 Maret 1948 dan April 1948 tentang tanah conversie dalam Daerah Surakarta dan Jogjakarta.,Item,4 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
305,289,,121502.0,,289.0,,Presiden RI dan Komite Nasional Pusat: Maklumat tgl. 14 Desember 1949 tentang pengakuan Kedaulatan Negara Republik Indonesia Serikat atas seluruh Daerah Indonesia.,Item,4 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Stensilan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
306,290,,121502.0,,290.0,,Presiden RI Panglima Tertinggi Angkatan Perang kepada Kementerian Pertahanan dan Pucuk Pimpinan Angkatan Perang: Surat Perintah No. 2/PT/48 tgl. 28 Januari 1948 tentang pengadaan/pembentukan panitia Hijrah.,Item,5 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,"Konsep, salinan",,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
307,291,,121502.0,,291.0,,Presiden RI Panglima Tertinggi Angkatan Perang: Surat Perintah No. 15/PT/48 tgl. 18 Maret 1948 tentang pemberian usul cara menyelenggarakan rekonstruksi dan rasionalisasi Angkatan Perang RI dari Panglima Besar Angkatan Perang.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
308,292,,121502.0,,292.0,,Presiden RI Panglima Tertinggi Angkatan Perang Besar Angkatan Perang Mobil: Surat Perintah No. 8/PT/48 tgl. 19 April 1948 tentang usul mengenai rekonstruksi dan rasionalisasi Angkatan Parang Perang RI.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
309,293,,121502.0,,293.0,,Panglima Tertinggi Angkatan Perang RI: Order Harian tentang mengutamakan jiwa patriot dan jiwa militer dalam rangka menyempurnakan ABRI.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
310,294,,121502.0,,294.0,,Panglima Tertinggi Angkatan Perang RI kepada Panglima Divisi I Kolonel Soekono: Surat Perintah No. 15/PT/48 tgl. 20 November 1948 tentang perintah untuk menghadap di Presidenan Jogjakarta.,Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Konsep,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
311,295,,121502.0,,295.0,,"Wakil Setneg kepada Kementerian Penerangan: Surat tgl. 28 Mei 1948 tentang permohonan untuk dapat diumumkannya Penetapan Bersama Menteri Pembangunan dan Pemuda dan Menteri Pertahanan No. 2642/I via Pers dan Radio, disertai lampiran.",Item,4 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Pertinggal,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
312,296,,121502.0,,296.0,,Menteri Kemakmuran: Surat-surat Penetapan No. 1571/T.O. dan No. 6414/T.O. tgl. 20 Maret 1948 dan 24 September 1948 tentang pembagian daerah-daerah Jawatan Perikanan di Jawa dan Madura.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
313,297,,121502.0,,297.0,,Menteri Kemakmuran: Surat Penetapan No. 8277/T.O. tgl. 7 Desember 1948 tentang perubahan dalam Penetapan No. 4073/T.O. tgl. 28 Juni 1948.,Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
314,298,,121502.0,,298.0,,Menteri Pembangungan dan Pemuda: Surat-surat Penetapan No. 3214//IIA dan No. K 720/I tgl. 7 Juni 1948 dan 25 Agustus 1948 tentang pembentukan dan pembubaran Panitia Interdependental transmigrasi.,Item,3 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
315,299,,121502.0,,299.0,,Menteri Pertahanan: Surat Penetapan No. J/148/1948 tgl. 5 April 1948 tentang pembentukan Komisi Pemindahan Tenaga.,Item,5 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
316,300,,121502.0,,300.0,,"Menteri Kehakiman: Surat Penetapan No. M 97 tgl. 18 Desember 1947 tentang Pengadilan Negeri, Pengadilan Kepolisian dan Kejaksaan Pengadilan Negeri di Jawa dan Madura.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
317,301,,121502.0,,301.0,,"Menteri Keuangan: Surat Penetapan No. TNU 1/1/34 tgl. 11 Agustus 1949 tentang pembentukan Jawatan keuangan Komisariat Pemerintah untuk Sumatera Utara, Sumatera Tengah dan Sumatera Selatan di tempat kedudukan Komisaris Pemerintah Daerah tersebut.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
318,302,,121502.0,,302.0,,"Menteri Perburuhan dan Sosial, Menteri Dalam Negeri dan Menteri Pendidikan, Pengajaran dan Kebudayaan: Surat tentang penerimaan penyerahan pelaksanaan penyelesaian urusan-urusan Kementerian Pembangunan dan Pemuda yang dibubarkan oleh ketiga kementerian tersebut, disertai lampiran dan surat pengantar.",Item,1 sampul,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Tembusan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
319,303,,121502.0,,303.0,,"Menteri Pengajaran, Pendidikan dan Kebudayaan: Surat Keputusan No. 1186/D tgl. 1 Maret 1947 tentang perpindahan tempat kedudukan Kantor Inspektur Sekolah Guru dan Sekolah Rakyat untuk daerah Jawa Tengah dari Madiun ke Jogjakarta.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
320,304,,121502.0,,304.0,,"Menteri Pengajaran, Pendidikan dan Kebudayaan: Surat Keputusan No. 225/BHG.A tgl. 14 Maret 1947 tentang tugas dan kewajiban Inspektur Olah Raga, disertai lampiran.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
321,305,,121502.0,,305.0,,"Menteri Pengajaran, Pendidikan dan Kebudayaan: Surat Keputusan No. 3973/A tgl. 15 Mei 1948 tentang pembentukan Dewan Penimbang Pengangkatan Guru Besar dan Pengangkatan sebagai Ketua Dewan Penimbang, Anggota Dewan Penimbang dan sebagai Pembantu Administratif dari Pimpinan Dewan Penimbang.",Item,1 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
322,306,,121502.0,,306.0,,"Menteri Pengajaran, Pendidikan dan Kebudayaan: Surat Keputusan No. 57/S tgl. 4 Agustus 1949 tentang pembatalan Putusan Menteri Pengajaran, Pendidikan dan Kebudayaan No. 6736/A dan susunan Kementerian Pengajaran, Pendidikan dan Kebudayaan.",Item,8 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
323,307,,121502.0,,307.0,,"Menteri Pengajaran, Pendidikan dan Kebudayaan: Surat Keputusan No. 56/C tgl. 8 September 1949 tentang pengubahan Surat-surat Keputusan Menteri Pengajaran, Pendidikan dan Kebudayaan No. 7660/D tgl. 27 Desember 1947 dan No. 7363/E tgl. 27 Agustus 1948, disertai lampiran.",Item,4 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
324,308,,121502.0,,308.0,,"Menteri Pengajaran, Pendidikan dan Kebudayaan: Surat Keputusan No. 218/A tgl. 29 September 1949 tentang pembentukan Panitia Pembantu Penyelenggaraan Kesejahteraan Pemuda dan Pengangkatan Ketua, Wakil Ketua, Anggota Panitia tersebut.",Item,2 lembar,Arsip Nasional Republik Indonesia (ANRI),,,,,,,,,id,,,,,,,,,,,Salinan,,,,,,,,,,,,,,,Draft,,,,,,,Creation,,,,Sekretariat Negara,,,id
